District,1969,1980,1991,2002,2014
Abim,16476,39415,47572,51803,107966
Adjumani,42080,48789,96264,202290,225251
Agago,71597,82969,100659,184018,227792
Alebtong,63140,88997,112584,163047,227541
Amolatar,42083,50762,68473,96189,147166
Amudat,34336,22052,11336,63572,105769
Amuria,53908,68954,45406,118924,183348
Amuru,60347,63156,79601,135723,186696
Apac,37677,51209,77658,121182,185322
Arua,168882,221614,297088,464749,641889
Budaka,49377,77474,100348,136489,207597
Bududa,52537,67640,79218,123103,210173
Bugiri,82690,121103,171269,237441,382913
Bugweri,48604,60876,84368,119607,164886
Buhweju,25401,34929,55534,82881,120720
Buikwe,136455,188654,250511,329858,422771
Bukedea,63614,82778,75272,122433,203600
Bukomansimbi,81136,105525,126549,139556,151413
Bukwo,17521,22225,30692,48952,89356
Bulambuli,46072,61686,64576,97273,174513
Buliisa,27566,35919,47709,63363,113161
Bundibugyo,68318,93097,92311,158909,224387
Bunyangabu,95759,90825,128256,127062,170247
Bushenyi,93620,119073,160982,205671,234443
Busia,90185,126184,163597,225008,323662
Butaleja,60587,74265,106678,157489,244153
Butambala,46986,58377,74062,86755,100840
Butebo,29080,48320,63552,93330,144971
Buvuma,3581,5357,18482,42483,89890
Buyende,59728,84664,130775,191266,323067
Dokolo,49934,64218,84978,129385,183093
Gomba,73145,97590,119550,133264,159922
Gulu,30028,76392,133184,193337,275613
Hoima,57324,99881,123518,198833,305531
Ibanda,57577,86868,148029,198635,249625
Iganga,85505,106334,150980,235866,339311
Isingiro,98774,176351,226365,316025,486360
Jinja,200899,228520,289476,387573,471242
Kaabong,35797,66360,64651,156765,116346
Kabale,141171,154514,222377,194939,230609
Kabarole,99355,133813,171317,229852,298989
Kaberamaido,54371,39179,40081,63089,105152
Kagadi,34898,86854,133128,228329,351033
Kakumiro,26313,36853,46552,108357,293108
Kalaki,9072,40165,41454,68561,109874
Kalangala,6803,8575,16371,34766,54293
Kaliro,63593,76830,105122,154667,236199
Kalungu,93474,114898,152028,160684,183232
Kampala,330700,458503,774241,1189142,1507080
Kamuli,154975,188055,249317,361399,486319
Kamwenge,30391,93804,121621,155935,270668
Kanungu,101769,118658,160708,204732,252144
Kapchorwa,28781,34276,48667,74268,105186
Kapelebyong,31320,35033,23947,61098,87580
Karenga,19800,21141,26585,45993,51533
Kasese,130560,277697,343601,523033,694987
Kassanda,61843,105450,146048,201052,271544
Katakwi,64559,73460,75244,118928,166231
Kayunga,162739,194793,236177,294613,368062
